,name,Aircraft,Fuel,Employee,Passenger,Freight,rate_ClientsByEmployee,rate_CargoByFleet,crs_in,Aircraft_sl_crs_in,Fuel_sl_crs_in,Employee_sl_crs_in,Passenger_sl_crs_in,Freight_sl_crs_in,efficient_crs_in,vrs_in,Aircraft_sl_vrs_in,Fuel_sl_vrs_in,Employee_sl_vrs_in,Passenger_sl_vrs_in,Freight_sl_vrs_in,efficient_vrs_in
0,A,109,392,8259,23756,870,2.8763772853856397,7.981651376146789,0.977962,-3.61,0.0,0.0,0.0,17.88,False,1.0,-0.0,-0.0,-0.0,0.0,0.0,False
1,B,115,381,9628,24183,1359,2.5117366015787286,11.817391304347826,0.968403,0.0,0.0,0.0,0.0,-113.94,False,1.0,0.0,0.0,0.0,0.0,0.0,False
2,C,767,2673,70923,163483,12449,2.305077337394075,16.23076923076923,1.0,0.0,0.0,0.0,-0.0,-0.0,False,1.0,0.0,0.0,0.0,-0.0,-0.0,False
3,D,90,282,9683,10370,509,1.0709490860270576,5.655555555555556,0.536895,0.0,46.26,0.0,0.0,0.0,False,0.9,0.0,178.8,1599.7,1592.0,27.0,False
4,E,461,1608,40630,99047,3726,2.4377799655427026,8.082429501084599,0.969166,0.0,0.0,4280.57,0.0,3289.18,False,0.995561,-0.0,0.0,4359.86,0.0,3509.07,False
5,F,628,2074,47420,128635,9214,2.7126739772248,14.671974522292993,0.977955,0.0,39.89,0.0,-1859.11,0.0,False,1.0,-0.0,-0.0,0.0,0.0,0.0,False
6,G,81,75,7115,11962,536,1.6812368236120872,6.617283950617284,1.0,-0.0,0.0,0.0,0.0,0.0,False,1.0,-0.0,0.0,0.0,0.0,0.0,False
7,I,153,458,10177,32436,1462,3.187186793750614,9.555555555555555,1.0,-0.0,0.0,-0.0,0.0,0.0,False,1.0,-0.0,0.0,-0.0,0.0,0.0,False
8,J,455,1722,29124,83862,6337,2.879480840543881,13.927472527472528,1.0,0.0,0.0,-0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0,0.0,0.0,False
9,K,103,400,8987,14618,785,1.6265717146990097,7.621359223300971,0.618578,0.0,25.97,0.0,0.0,0.0,False,0.886279,0.0,186.93,89.68,1041.48,0.0,False
10,L,547,1217,34680,99636,6597,2.8730103806228375,12.060329067641682,1.0,0.0,0.0,0.0,0.0,-0.0,True,1.0,0.0,0.0,0.0,0.0,-0.0,True
11,M,560,2532,51536,135480,10928,2.6288419745420675,19.514285714285716,1.0,-0.0,0.0,0.0,0.0,-0.0,False,1.0,-0.0,0.0,0.0,0.0,-0.0,False
12,N,423,1303,32683,74106,4258,2.267417311752287,10.066193853427896,0.834694,0.0,0.0,1247.98,0.0,666.21,False,0.848598,0.0,0.0,1627.04,0.0,697.9,False
